"Date","Close","Volume"
"08.08.2018",1198.26,130039756
"09.08.2018",1203.21,110138746
"10.08.2018",1181.96,165289143
"13.08.2018",1177.76,126788176
"14.08.2018",1176.53,128353704
"15.08.2018",1157.3,148100369
"16.08.2018",1166.15,116471680
"17.08.2018",1163.93,121429840
"20.08.2018",1174.94,89274787
"21.08.2018",1179.71,100717556
"22.08.2018",1180.32,113082786
"23.08.2018",1180.31,95335346
"24.08.2018",1183.45,88402013
"27.08.2018",1197.29,85983475
"28.08.2018",1197.3,110171360
"29.08.2018",1200.06,95858128
"30.08.2018",1194.46,110607636
"31.08.2018",1183.07,129626900
"03.09.2018",1181.18,80629814
"04.09.2018",1168.39,123112600
"05.09.2018",1151.71,153556012
"06.09.2018",1144.21,131294488
"07.09.2018",1145.31,139283393
"10.09.2018",1148.33,115083726
"11.09.2018",1146.58,130240217
"12.09.2018",1151.58,148831234
"13.09.2018",1151.39,133801448
"14.09.2018",1158.45,111852427
"17.09.2018",1155.85,101197859
"18.09.2018",1160.78,129643778
"19.09.2018",1163.94,143871307
"20.09.2018",1170.73,163469903
"21.09.2018",1178.34,515704704
"24.09.2018",1170.19,117682047
"25.09.2018",1171.86,131814541
"26.09.2018",1172.25,115011652
"27.09.2018",1175.4,135938198
"28.09.2018",1159.95,173269465
"01.10.2018",1168.78,119556424
"02.10.2018",1163.32,129121492
"04.10.2018",1157.19,161273337
"05.10.2018",1143.59,141741022
"08.10.2018",1126.52,130048880
"09.10.2018",1128.07,140348007
"10.10.2018",1101.72,184312871
"11.10.2018",1085.41,230488483
"12.10.2018",1084.93,163589516
"15.10.2018",1090.96,116858243
"16.10.2018",1109.76,140347402
"17.10.2018",1105.15,145532920
"18.10.2018",1095.2,152457814
"19.10.2018",1089.96,190126776
"22.10.2018",1086.91,117054873
"23.10.2018",1062.16,176192086
"24.10.2018",1053.78,176733612
"25.10.2018",1066.03,179856707
"26.10.2018",1056.51,196362156
"29.10.2018",1069.61,148582615
"30.10.2018",1066.58,153164038
"31.10.2018",1083.66,173106376
"01.11.2018",1088.39,145550632
"02.11.2018",1096.11,166443236
"05.11.2018",1090.94,108829306
"06.11.2018",1088.94,137105275
"07.11.2018",1097.89,133048609
"08.11.2018",1092.87,154654465
"09.11.2018",1091.39,183652265
"12.11.2018",1071.91,143437933
"13.11.2018",1085.73,153564831
"14.11.2018",1081.57,162194274
"15.11.2018",1074.66,150743433
"16.11.2018",1072.75,167145926
"19.11.2018",1061.74,121265743
"20.11.2018",1044.15,182336153
"21.11.2018",1060.2,141980524
"22.11.2018",1051.36,100829029
"23.11.2018",1055.95,99249594
"26.11.2018",1070.98,135952027
"27.11.2018",1067.46,123519159
"28.11.2018",1067.17,119949995
"29.11.2018",1068.55,137005374
"30.11.2018",1062.63,201756679
"03.12.2018",1081.73,151447859
"04.12.2018",1066.91,132425834
"05.12.2018",1055.18,117306169
"06.12.2018",1020.31,198582577
"07.12.2018",1019.28,149522217
"10.12.2018",1001.57,175875511
"11.12.2018",1014.11,156387245
"12.12.2018",1029.93,165596349
"13.12.2018",1028.98,141613640
"14.12.2018",1022.06,137715970
"17.12.2018",1010.38,142054323
"18.12.2018",1007.88,157893586
"19.12.2018",1010.8,157597366
"20.12.2018",995.12,185285022
"21.12.2018",997.14,304239137
"24.12.2018",997.14,NA
"27.12.2018",975.67,159660210
"28.12.2018",990.45,86716960
"02.01.2019",993.69,125727407
"03.01.2019",979.92,130148964
"04.01.2019",1013.15,147218806
"07.01.2019",1013.59,114623927
"08.01.2019",1021.26,146503531
"09.01.2019",1030.9,150883158
"10.01.2019",1031.27,122068531
"11.01.2019",1027.79,124017227
"14.01.2019",1024.24,101295653
"15.01.2019",1027.84,124511110
"16.01.2019",1032,125524416
"17.01.2019",1030.86,126089721
"18.01.2019",1056.44,173152524
"21.01.2019",1052.59,100719721
"22.01.2019",1047.35,112319664
"23.01.2019",1048.51,138127635
"24.01.2019",1054.86,167624780
"25.01.2019",1069.23,158761153
"28.01.2019",1062.5,119378161
"29.01.2019",1062.28,117177372
"30.01.2019",1059.2,113431138
"31.01.2019",1057.3,176663641
"01.02.2019",1057.31,148024555
"04.02.2019",1057.35,110683962
